name,item_code,variant,item_description,category,subcategory,segment,subsegment,leaftype,leaftype,leaf_desc,leafposition,vehicle,vechiclemodel,drawing_refno,mrp1,mrp2,mrp3,mrp4,mrp5,dbp1,dbp2,dbp3,dbp4,dbp5,status,priority,substitute,weight,length,section,ch_detail,sh_detail,item_weight,suitableFor,image
TATA 407 TURBO (R) AUX-A,16231,AMI,TATA 407 TURBO (R) AUX-A,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,AUXILLIARY,ASSEMBLY,AUX-A,Rear,TATA,407,265132410108/265132410121,1700,1240,0,0,0,1700,1240,0,0,0,1,2,,8.692,56.1,,,,,,
TATA 1210 SE 12.5(H) 3/L,19303,AMI,TATA 1210 SE 12.5(H) 3/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,ASSEMBLY,3/L,Helper,TATA,1210,2.57332E+11,1090,800,0,0,0,1090,800,0,0,0,1,2,,6.248,31.5,,,,,,
M&M SCORPIO MOD (R) 2/L,27202,AMI,M&M SCORPIO MOD (R) 2/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,MUV,LOOSE LEAF,ASSEMBLY,2/L,Rear,MAHINDRA,SCORPIO,0402AA0060N,770,570,0,0,0,770,570,0,0,0,1,3,,3.7,40,,,,,,
JEEP (F) M/L,33101,AMI,JEEP (F) M/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,ASSEMBLY,M/L,Front,MAHINDRA,JEEP,31699,500,370,0,0,0,500,370,0,0,0,1,2,,2.17,43.31,,,,,,
JEEP (R) M/L,33201,AMI,JEEP (R) M/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,ASSEMBLY,M/L,Rear,MAHINDRA,JEEP,31700,580,420,0,0,0,580,420,0,0,0,1,2,,2.412,49.17,,,,,,
EICHER (T) (R) 6/L,48206,AMI,EICHER (T) (R) 6/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,ASSEMBLY,6/L,Rear,EICHER,EICHER,MB391167/IB003083,800,590,0,0,0,800,590,0,0,0,1,3,,4.246,35.43,,,,,,
EICHER (T) (R) AUX-A,48231,AMI,EICHER (T) (R) AUX-A,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,AUXILLIARY,ASSEMBLY,AUX-A,Rear,EICHER,EICHER,MB391167/IB003083,1140,830,0,0,0,1140,830,0,0,0,1,2,,5.972,49.21,,,,,,
MARUTI OMNI Rear M/L,50201,AMI,MARUTI OMNI Rear M/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,ASSEMBLY,M/L,Rear,MARUTI,OMNI,411310M79800,800,590,0,0,0,800,590,0,0,0,1,2,,2.886,49.8,,,,,,
M.COMMANDER750 DP HA 4/L,190204,AMI,M.COMMANDER750 DP HA 4/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,ASSEMBLY,4/L,Rear,MAHINDRA,COMMANDER,73420,550,400,0,0,0,550,400,0,0,0,1,2,,2.501,37.01,,,,,,
M&M BOLERO Rear M/L,195201W,AMI,M&M BOLERO Rear M/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,MUV,LOOSE LEAF,ASSEMBLY,M/L,Rear,MAHINDRA,BOLERO,0402AA0310N,980,720,0,0,0,980,720,0,0,0,1,1,,4.34,57.32,,,,,,
M&M BOLERO Rear 2/L,195202,AMI,M&M BOLERO Rear 2/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,MUV,LOOSE LEAF,ASSEMBLY,2/L,Rear,MAHINDRA,BOLERO,0402AA0310N,700,510,0,0,0,700,510,0,0,0,1,1,,3.2,42.05,,,,,,
